long road,21,0.22938,0.02506,0.18542,0.01886
2005 2007,15,0.2229,0.0078,0.21126,0.00376
mice men,19,0.24546,0.04066,0.20366,0.0011
pro nej,14,0.24166,0.01888,0.2219,0.00086
live tour,56,0.2879,0.02512,0.24222,0.02056
jaromir nohavica,3,0.47046,0.137,0.33312,0.00032
ovoce,167,0.50914,0.0347,0.4468,0.02766
s nami,70,0.27366,0.01936,0.23342,0.02088
znami lide,2,0.35106,0.03928,0.31154,0.00024
repeat,1048,0.7221,0.18286,0.48502,0.05422
o vikendu,3,0.46044,0.05256,0.40754,0.00034
godfather,95,0.44354,0.0564,0.36618,0.021
kriminalka,152,0.45518,0.0933,0.33938,0.0225
kukacci hnizdo,4,0.68784,0.23412,0.45336,0.00034
ctvrtek patek,5,0.94314,0.20062,0.74214,0.00044
epizoda 3,33,0.4434,0.0517,0.3899,0.0018
za pultem,9,0.86158,0.1959,0.6651,0.00064
praha,3443,1.00774,0.10636,0.80266,0.09872
dalnice,957,0.95006,0.13604,0.77038,0.04364
krasneho srnce,2,1.09816,0.18596,0.91188,0.00026
