long road,21,0.0639,0.0541,0.0059,0.0032
2005 2007,15,0.0294,0.01805,0.0079,0.0032
mice men,19,0.081,0.0677,0.009,0.0038
pro nej,14,0.0421,0.03165,0.008,0.0022
live tour,56,0.0681,0.0524,0.0083,0.0066
jaromir nohavica,3,0.1198,0.10845,0.0107,0.0007
ovoce,167,0.06185,0.04625,0.0092,0.0054
s nami,70,0.0737,0.0535,0.0091,0.0079
znami lide,2,0.0865,0.07705,0.0089,0.0005
repeat,1048,0.1341,0.1139,0.011,0.0091
o vikendu,3,0.10025,0.08675,0.0129,0.0007
godfather,95,0.0791,0.0579,0.0131,0.0082
kriminalka,152,0.11245,0.0876,0.0142,0.0101
kukacci hnizdo,4,0.16825,0.1491,0.0181,0.001
ctvrtek patek,5,0.30995,0.28035,0.02825,0.0012
epizoda 3,33,0.0553,0.03655,0.0137,0.0048
za pultem,9,0.1899,0.1569,0.0309,0.0019
praha,3443,0.27235,0.2141,0.0326,0.0257
dalnice,957,0.122,0.0885,0.0237,0.0096
krasneho srnce,2,0.3083,0.2753,0.03245,0.0005
